PLATE #1,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,
A,DH5a_3382_1,MG1655_3382_3,W3110_3382_2,Mach1_3382_1,DH5a_3353_1,MG1655_3353_3,W3110_3353_2,Mach1_3353_1,DH5a_3391_1,MG1655_3391_3,W3110_3391_2,Mach1_3391_1,,,,,,,,,,,,,
B,DH5a_3382_2,MDS42_3382_1,W3110_3382_3,Mach1_3382_2,DH5a_3353_2,MDS42_3353_1,W3110_3353_3,Mach1_3353_2,DH5a_3391_2,MDS42_3391_1,W3110_3391_3,Mach1_3391_2,,,,,,,,,,,,,
C,DH5a_3382_3,MDS42_3382_2,DH1_3382_1,Mach1_3382_3,DH5a_3353_3,MDS42_3353_2,DH1_3353_1,Mach1_3353_3,DH5a_3391_3,MDS42_3391_2,DH1_3391_1,Mach1_3391_3,,,,,,,,,,,,,
D,DH10b_3382_1,MDS42_3382_3,DH1_3382_2,,DH10b_3353_1,MDS42_3353_3,DH1_3353_2,,DH10b_3391_1,MDS42_3391_3,DH1_3391_2,,,,,,,,,,,,,,
E,DH10b_3382_2,BW25113_3382_1,DH1_3382_3,,DH10b_3353_2,BW25113_3353_1,DH1_3353_3,,DH10b_3391_2,BW25113_3391_1,DH1_3391_3,,,,,,,,,,,,,,
F,DH10b_3382_3,BW25113_3382_2,BL21_3382_1,,DH10b_3353_3,BW25113_3353_2,BL21_3353_1,,DH10b_3391_3,BW25113_3391_2,BL21_3391_1,,,,,,,,,,,,,,
G,MG1655_3382_1,BW25113_3382_3,BL21_3382_2,,MG1655_3353_1,BW25113_3353_3,BL21_3353_2,,MG1655_3391_1,BW25113_3391_3,BL21_3391_2,,,,,,,,,,,,,,
H,MG1655_3382_2,W3110_3382_1,BL21_3382_3,,MG1655_3353_2,W3110_3353_1,BL21_3353_3,,MG1655_3391_2,W3110_3391_1,BL21_3391_3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
PLATE #2,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,,,,,,,
